US::abilene	Abilene		OK	H	
US::ah-shi-sle-pah	Ah-Shi-Sle-Pah		OK	H	standardized hyphenation
US::aiken	Aiken		OK	H	
US::alamogordo	Alamogordo		OK	H	
US::alamosa-co	Alamosa		OK	H	removed state suffix
US::albuquerque	Albuquerque		OK	H	
US::alliance	Alliance		?	M	multiple US cities named Alliance
US::alpine-tx	Alpine		OK	H	removed state suffix
US::altoona	Altoona		?	M	multiple US cities named Altoona
US::amana	Amana		OK	H	
US::amarillo	Amarillo		OK	H	
US::amelia-island	Amelia Island		OK	H	
US::amicalola-falls	Amicalola Falls		OK	H	
US::anaheim	Anaheim		OK	H	
US::anchorage	Anchorage		OK	H	
US::ann-arbor	Ann Arbor		OK	H	
US::annapolis-md	Annapolis		OK	H	removed state suffix
US::anza-borrego	Anza-Borrego		OK	H	
US::apalachicola	Apalachicola		OK	H	
US::apgar	Apgar		OK	H	
US::arco	Arco		OK	H	
US::arrow-rock-mo	Arrow Rock		OK	H	removed state suffix
US::asheville	Asheville		OK	H	
US::aspen-co	Aspen		OK	H	removed state suffix
US::athens-ga	Athens		?	M	Athens GA vs OH - need disambiguation
US::athens-oh	Athens		?	M	Athens GA vs OH - need disambiguation
US::atlanta	Atlanta		OK	H	
US::augusta	Augusta		?	M	Augusta GA vs ME - need disambiguation
US::augusta-me	Augusta		?	M	Augusta GA vs ME - need disambiguation
US::austin	Austin		OK	H	
US::babb	Babb		OK	H	
US::baker	Baker		?	L	Wikidata shows Baker Island (uninhabited), likely wrong granularity
US::baker-nv	Baker		?	M	Baker NV vs Baker (other) - need disambiguation
US::baltimore-md	Baltimore		OK	H	removed state suffix
US::bandelier	Bandelier		OK	H	
US::bangor	Bangor		OK	H	
US::bar-harbor	Bar Harbor		OK	H	
US::baraboo	Baraboo		OK	H	
US::barstow	Barstow		OK	H	
US::baton-rouge	Baton Rouge		OK	H	
US::bayfield	Bayfield		?	M	Wikidata shows county not city
US::beatty	Beatty		OK	H	
US::beaufort	Beaufort		OK	H	
US::bend	Bend		OK	H	
US::bentonville	Bentonville		OK	H	
US::berlin-holmes-county	Berlin		OK	H	removed county designation
US::bethlehem-pa	Bethlehem		OK	H	removed state suffix
US::bettles	Bettles		OK	H	
US::big-bend	Big Bend		OK	H	
US::big-sky	Big Sky		OK	H	
US::big-sur	Big Sur		OK	H	
US::billings	Billings		OK	H	
US::birmingham	Birmingham		OK	H	
US::bisbee	Bisbee		OK	H	
US::bismarck	Bismarck		OK	H	
US::bloomington	Bloomington		?	M	multiple US cities named Bloomington
US::blowing-rock	Blowing Rock		OK	H	
US::blue-mounds	Blue Mounds		OK	H	
US::bluff	Bluff		OK	H	
US::boise	Boise		OK	H	
US::boone	Boone		?	M	Wikidata shows county not city
US::boston	Boston		OK	H	
US::boulder-co	Boulder		OK	H	removed state suffix
US::boxley-valley	Boxley Valley		OK	H	
US::bozeman	Bozeman		OK	H	
US::branson-mo	Branson		OK	H	removed state suffix
US::brasstown-bald	Brasstown Bald		OK	H	
US::breaux-bridge	Breaux Bridge		OK	H	
US::brooks-camp-katmai	Brooks Camp		OK	H	removed park designation
US::brunswick	Brunswick		?	M	multiple US cities named Brunswick
US::bryce-canyon	Bryce Canyon		OK	H	
US::buffalo	Buffalo		OK	H	
US::burlington-vt	Burlington		OK	H	removed state suffix
US::cambria	Cambria		OK	H	
US::cannon-beach	Cannon Beach		?	M	Wikidata shows Cannon County (TN) not beach town
US::canton	Canton		?	M	multiple US cities named Canton
US::cape-canaveral	Cape Canaveral		OK	H	
US::cape-cod	Cape Cod		OK	H	
US::capulin-volcano	Capulin Volcano		OK	H	
US::carlsbad	Carlsbad		?	M	Carlsbad CA vs NM - need disambiguation
US::carlsbad-caverns	Carlsbad Caverns		OK	H	
US::carmel-by-the	Carmel-by-the-Sea		OK	H	completed name
US::carthage	Carthage		?	M	multiple US cities named Carthage
US::casper	Casper		OK	H	
US::cave-city-ky	Cave City		OK	H	removed state suffix
US::cedar-rapids	Cedar Rapids		OK	H	
US::cedarburg	Cedarburg		OK	H	
US::chaco-culture	Chaco Culture		OK	H	
US::chamberlain-sd	Chamberlain		OK	H	removed state suffix
US::chanhassen	Chanhassen		OK	H	
US::charleston	Charleston		?	M	multiple US cities named Charleston
US::charlotte-nc	Charlotte		OK	H	removed state suffix
US::charlottesville-va	Charlottesville		OK	H	removed state suffix
US::chattanooga	Chattanooga		OK	H	
US::chauvin	Chauvin		OK	H	
US::cheyenne	Cheyenne		OK	H	
US::chicago	Chicago		OK	H	
US::cincinnati	Cincinnati		OK	H	
US::claremore	Claremore		OK	H	
US::clarksdale	Clarksdale		OK	H	
US::clearwater	Clearwater		OK	H	
US::clemson	Clemson		OK	H	
US::cleveland	Cleveland		OK	H	
US::cocoa-beach	Cocoa Beach		OK	H	
US::cody	Cody		OK	H	
US::colorado-springs-co	Colorado Springs		OK	H	removed state suffix
US::columbia-sc	Columbia		OK	H	removed state suffix
US::columbus-ga	Columbus		?	M	Columbus GA vs OH - need disambiguation
US::columbus-oh	Columbus		?	M	Columbus GA vs OH - need disambiguation
US::cooper-landing	Cooper Landing		OK	H	
US::copper	Copper		?	L	too generic, unclear place
US::corpus-christi	Corpus Christi		OK	H	
US::cortez-co	Cortez		OK	H	removed state suffix
US::cottonwood-falls	Cottonwood Falls		OK	H	
US::council-bluffs	Council Bluffs		OK	H	
US::crater-lake	Crater Lake		OK	H	
US::crawfordsville	Crawfordsville		OK	H	
US::crystal-river	Crystal River		OK	H	
US::cumberland-island	Cumberland Island		OK	H	
US::custer-sd	Custer		OK	H	removed state suffix
US::cuyahoga-valley-peninsula	Cuyahoga Valley		OK	H	removed Peninsula designation
US::dallas	Dallas		OK	H	
US::davis-wv	Davis		OK	H	removed state suffix
US::daytona-beach	Daytona Beach		OK	H	
US::deadwood-sd	Deadwood		OK	H	removed state suffix
US::death-valley	Death Valley		OK	H	
US::decorah	Decorah		OK	H	
US::delaware-water-gap	Delaware Water Gap		OK	H	
US::demopolis	Demopolis		OK	H	
US::denali	Denali		OK	H	
US::denver	Denver	US::denver-co	OK	H	doublon avec denver-co
US::denver-co	Denver		OK	H	
US::des-moines	Des Moines		OK	H	
US::destin	Destin		OK	H	
US::detroit	Detroit		OK	H	
US::dickinson-enchanted-highway	Dickinson		OK	H	removed attraction designation
US::dodge	Dodge		?	L	too generic, multiple Dodge cities
US::door-county-fish-creek	Fish Creek		OK	H	removed county designation
US::dry-tortugas	Dry Tortugas		OK	H	
US::dubuque	Dubuque		OK	H	
US::duluth	Duluth	US::duluth-mn	OK	H	doublon avec duluth-mn
US::duluth-mn	Duluth		OK	H	
US::eagle-river	Eagle River		OK	H	
US::edenton	Edenton		OK	H	
US::el-paso	El Paso		OK	H	
US::elkhart	Elkhart		OK	H	
US::ellison-bay	Ellison Bay		OK	H	
US::ely-mn	Ely		?	M	Ely MN vs NV - need disambiguation
US::ely-nv	Ely		?	M	Ely MN vs NV - need disambiguation
US::ephraim	Ephraim		OK	H	
