```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
FR::lourdes	Lourdes			OK	H	
FR::lourmarin	Lourmarin			OK	H	
FR::lumio	Lumio			OK	H	
FR::luneville	Lunéville			OK	H	correction accent
FR::lure	Lure			OK	H	
FR::lurs	Lurs			OK	H	
FR::lusigny-sur-barse	Lusigny-sur-Barse			OK	H	correction trait d'union
FR::luxeuil-les-bains	Luxeuil-les-Bains			OK	H	correction trait d'union
FR::luz-saint-sauveur	Luz-Saint-Sauveur			OK	H	correction trait d'union et majuscule
FR::lyon	Lyon			OK	H	
FR::lyons-la-foret	Lyons-la-Forêt			OK	H	correction trait d'union et accent
FR::macinaggio	Macinaggio			OK	H	
FR::macon	Mâcon			OK	H	correction accent
FR::maillane	Maillane			OK	H	
FR::maillezais	Maillezais			OK	H	
FR::maintenon	Maintenon			OK	H	
FR::maisons-alfort	Maisons-Alfort			OK	H	correction trait d'union
FR::malbuisson	Malbuisson			OK	H	
FR::malicorne-sur-sarthe	Malicorne-sur-Sarthe			OK	H	correction trait d'union
FR::mamers	Mamers			OK	H	
FR::mane	Mane			OK	H	
FR::manosque	Manosque			OK	H	
FR::mantes-la-jolie	Mantes-la-Jolie			OK	H	correction trait d'union
FR::marche-enfants-rouges	Marché des Enfants Rouges			?	M	site spécifique Paris, vérifier granularité
FR::marciac	Marciac			OK	H	
FR::marennes	Marennes			OK	H	
FR::margaux	Margaux			OK	H	
FR::marigny	Marigny			OK	H	
FR::marlenheim	Marlenheim			OK	H	
FR::marmande	Marmande			OK	H	
FR::maroilles	Maroilles			OK	H	
FR::marseille	Marseille			OK	H	
FR::marseilleveyre	Massif de Marseilleveyre			?	M	site naturel/calanque, vérifier granularité
FR::martel	Martel			OK	H	
FR::massat	Massat			OK	H	
FR::maubeuge	Maubeuge			OK	H	
FR::mauriac	Mauriac			OK	H	
FR::maussane-les-alpilles	Maussane-les-Alpilles			OK	H	correction trait d'union
FR::mayenne	Mayenne			OK	H	
FR::mazamet	Mazamet			OK	H	
FR::meaudre	Méaudre			OK	H	correction accent
FR::meaux	Meaux			OK	H	
FR::megeve	Megève			OK	H	correction accent
FR::mehun-sur-yevre	Mehun-sur-Yèvre			OK	H	correction trait d'union et accent
FR::mende	Mende			OK	H	
FR::menerbes	Ménerbes			OK	H	correction accent
FR::menton	Menton			OK	H	
FR::merens-les-vals	Mérens-les-Vals			OK	H	correction trait d'union et accent
FR::mereville	Méréville			OK	H	correction accent
FR::metz	Metz			OK	H	
FR::meung-sur-loire	Meung-sur-Loire			OK	H	correction trait d'union
FR::meursault	Meursault			OK	H	
FR::meyrueis	Meyrueis			OK	H	
FR::millau	Millau			OK	H	
FR::milly-la-foret	Milly-la-Forêt			OK	H	correction trait d'union et accent
FR::mimizan	Mimizan			OK	H	
FR::minerve	Minerve			OK	H	
FR::mirande	Mirande			OK	H	
FR::mirepoix	Mirepoix			OK	H	
FR::mirmande	Mirmande			OK	H	
FR::mittelbergheim	Mittelbergheim			OK	H	
FR::modane	Modane			OK	H	
FR::moirans-en-montagne	Moirans-en-Montagne			OK	H	correction trait d'union
FR::moissac	Moissac			OK	H	
FR::molleges	Mollégès			OK	H	correction accent
FR::monaco	Monaco			OK	H	
FR::moncontour	Moncontour			OK	H	
FR::monflanquin	Monflanquin			OK	H	
FR::monpazier	Monpazier			OK	H	
FR::mont-de-marsan	Mont-de-Marsan			OK	H	correction trait d'union
FR::mont-louis	Mont-Louis			OK	H	correction trait d'union
FR::mont-saint-michel	Mont-Saint-Michel			OK	H	correction trait d'union, nom anglais faux
FR::montagny-rhone	Montagny			OK	H	retrait suffixe
FR::montargis	Montargis			OK	H	
FR::montauban	Montauban			OK	H	
FR::montbard	Montbard			OK	H	
FR::montbeliard	Montbéliard			OK	H	correction accent
FR::montbrison	Montbrison			OK	H	
FR::montclus	Montclus			OK	H	
FR::montelimar	Montélimar			OK	H	correction accent
FR::montferrier	Montferrier			OK	H	
FR::montfort-l-amaury	Montfort-l'Amaury			OK	H	correction trait d'union et apostrophe
FR::montfuron	Montfuron			OK	H	
FR::montgenevre	Montgenèvre			OK	H	correction accent
FR::monthermé	Monthermé			OK	H	
FR::montlhery	Montlhéry			OK	H	correction accent
FR::montlucon	Montluçon			OK	H	correction accent
FR::montmedy	Montmédy			OK	H	correction accent
FR::montmorency	Montmorency			OK	H	
FR::montmorillon	Montmorillon			OK	H	
FR::montoire-sur-le-loir	Montoire-sur-le-Loir			OK	H	correction trait d'union
FR::montpellier	Montpellier			OK	H	
FR::montpeyroux	Montpeyroux			OK	H	
FR::montpezat-de-quercy	Montpezat-de-Quercy			OK	H	correction trait d'union
FR::montreal-ardeche	Montréal			?	M	doublon potentiel avec montreal-du-gers
FR::montreal-du-gers	Montréal			?	M	doublon potentiel avec montreal-ardeche
FR::montrejeau	Montréjeau			OK	H	correction accent
FR::montreuil-sur-mer	Montreuil-sur-Mer			OK	H	correction trait d'union
FR::montsegur	Montségur			OK	H	correction accent
FR::moret-sur-loing	Moret-sur-Loing			OK	H	correction trait d'union
FR::mortagne-au-perche	Mortagne-au-Perche			OK	H	correction trait d'union
FR::morteau	Morteau			OK	H	
FR::mougins	Mougins			OK	H	
FR::moulins	Moulins			OK	H	
FR::mouries	Mouriès			OK	H	correction accent
